Antecedente;Consequente;Suporte;Confiança
[18, 7];[1, 6, 12, 13];1;50.0%
[13, 7];[1, 6, 12, 18];1;50.0%
[12, 7];[1, 6, 13, 18];1;33.3%
[6, 18];[1, 7, 12, 13];1;25.0%
[6, 13];[1, 7, 12, 18];1;14.3%
[12, 6];[1, 7, 13, 18];1;14.3%
[6, 7];[1, 12, 13, 18];1;33.3%
[1, 18];[6, 7, 12, 13];1;33.3%
[13, 1];[6, 7, 12, 18];1;25.0%
[12, 1];[6, 7, 13, 18];1;33.3%
[1, 7];[6, 12, 13, 18];1;33.3%
[6, 1];[7, 12, 13, 18];1;20.0%
[18];[1, 6, 7, 12, 13];1;20.0%
[13];[1, 6, 7, 12, 18];1;11.1%
[12];[1, 6, 7, 13, 18];1;10.0%
[7];[1, 6, 12, 13, 18];1;25.0%
[6];[1, 7, 12, 13, 18];1;11.1%
[1];[6, 7, 12, 13, 18];1;20.0%
[12, 6, 18, 7, 14];[1];1;100.0%
[12, 1, 18, 7, 14];[6];1;100.0%
[12, 6, 1, 18, 14];[7];1;100.0%
[6, 1, 18, 7, 14];[12];1;100.0%
[12, 6, 1, 18, 7];[14];1;50.0%
[12, 6, 1, 7, 14];[18];1;100.0%
[12, 18, 7, 14];[1, 6];1;100.0%
[12, 6, 18, 14];[1, 7];1;100.0%
[6, 18, 7, 14];[1, 12];1;100.0%
[12, 6, 18, 7];[1, 14];1;50.0%
[12, 6, 7, 14];[1, 18];1;100.0%
[12, 1, 18, 14];[6, 7];1;100.0%
[1, 18, 7, 14];[6, 12];1;100.0%
[12, 1, 18, 7];[6, 14];1;50.0%
[12, 1, 7, 14];[6, 18];1;100.0%
[6, 1, 18, 14];[7, 12];1;100.0%
[12, 6, 1, 18];[7, 14];1;50.0%
[12, 6, 1, 14];[7, 18];1;100.0%
[6, 1, 18, 7];[12, 14];1;50.0%
[6, 1, 7, 14];[12, 18];1;100.0%
[12, 6, 1, 7];[14, 18];1;50.0%
[12, 18, 14];[1, 6, 7];1;100.0%
[18, 7, 14];[1, 6, 12];1;100.0%
[12, 18, 7];[1, 6, 14];1;50.0%
[12, 7, 14];[1, 6, 18];1;50.0%
[6, 18, 14];[1, 7, 12];1;100.0%
[12, 6, 18];[1, 7, 14];1;33.3%
[12, 6, 14];[1, 7, 18];1;100.0%
[6, 18, 7];[1, 12, 14];1;50.0%
[6, 7, 14];[1, 12, 18];1;100.0%
[12, 6, 7];[1, 14, 18];1;50.0%
[1, 18, 14];[6, 7, 12];1;100.0%
[12, 1, 18];[6, 7, 14];1;50.0%
[12, 1, 14];[6, 7, 18];1;100.0%
[1, 18, 7];[6, 12, 14];1;50.0%
[1, 7, 14];[6, 12, 18];1;100.0%
[12, 1, 7];[6, 14, 18];1;50.0%
[6, 1, 18];[7, 12, 14];1;33.3%
[6, 1, 14];[7, 12, 18];1;100.0%
[12, 6, 1];[7, 14, 18];1;33.3%
[6, 1, 7];[12, 14, 18];1;33.3%
[18, 14];[1, 6, 7, 12];1;100.0%
[12, 18];[1, 6, 7, 14];1;33.3%
[12, 14];[1, 6, 7, 18];1;33.3%
[18, 7];[1, 6, 12, 14];1;50.0%
[7, 14];[1, 6, 12, 18];1;50.0%
[12, 7];[1, 6, 14, 18];1;33.3%
[6, 18];[1, 7, 12, 14];1;25.0%
[6, 14];[1, 7, 12, 18];1;100.0%
[12, 6];[1, 7, 14, 18];1;14.3%
[6, 7];[1, 12, 14, 18];1;33.3%
[1, 18];[6, 7, 12, 14];1;33.3%
[1, 14];[6, 7, 12, 18];1;100.0%
[12, 1];[6, 7, 14, 18];1;33.3%
[1, 7];[6, 12, 14, 18];1;33.3%
[6, 1];[7, 12, 14, 18];1;20.0%
[18];[1, 6, 7, 12, 14];1;20.0%
[14];[1, 6, 7, 12, 18];1;33.3%
[12];[1, 6, 7, 14, 18];1;10.0%
[7];[1, 6, 12, 14, 18];1;25.0%
[6];[1, 7, 12, 14, 18];1;11.1%
[1];[6, 7, 12, 14, 18];1;20.0%
[6, 13, 8, 18, 11];[1];1;100.0%
[13, 1, 8, 18, 11];[6];1;100.0%
[6, 13, 1, 18, 11];[8];1;100.0%
[6, 13, 1, 8, 18];[11];1;100.0%
[6, 1, 8, 18, 11];[13];1;100.0%
[6, 13, 1, 8, 11];[18];1;100.0%
[13, 8, 18, 11];[1, 6];1;100.0%
[6, 13, 18, 11];[1, 8];1;100.0%
[6, 13, 8, 18];[1, 11];1;100.0%
[6, 8, 18, 11];[1, 13];1;100.0%
[6, 13, 8, 11];[1, 18];1;100.0%
[13, 1, 18, 11];[6, 8];1;100.0%
[13, 1, 8, 18];[6, 11];1;100.0%
[1, 8, 18, 11];[6, 13];1;100.0%
[13, 1, 8, 11];[6, 18];1;100.0%
[6, 13, 1, 18];[8, 11];1;50.0%
[6, 1, 18, 11];[8, 13];1;100.0%
[6, 13, 1, 11];[8, 18];1;50.0%
[6, 1, 8, 18];[11, 13];1;100.0%
[6, 13, 1, 8];[11, 18];1;100.0%
[6, 1, 8, 11];[13, 18];1;100.0%
[13, 18, 11];[1, 6, 8];1;100.0%
[13, 8, 18];[1, 6, 11];1;50.0%
[8, 18, 11];[1, 6, 13];1;100.0%
[13, 8, 11];[1, 6, 18];1;100.0%
[6, 13, 18];[1, 8, 11];1;33.3%
[6, 18, 11];[1, 8, 13];1;100.0%
[6, 13, 11];[1, 8, 18];1;50.0%
[6, 8, 18];[1, 11, 13];1;100.0%
[6, 13, 8];[1, 11, 18];1;100.0%
[6, 8, 11];[1, 13, 18];1;100.0%
[13, 1, 18];[6, 8, 11];1;50.0%
[1, 18, 11];[6, 8, 13];1;100.0%
[13, 1, 11];[6, 8, 18];1;50.0%
[1, 8, 18];[6, 11, 13];1;100.0%
